"tarih","id","score","tahmin_var","olay_varmi","match","toplam_olay_sayisi","tahmin_dogru_number","tahmin_yanlis_number"
"3/8/2017","1618","0.0156116","0","0",,"11",,
"3/8/2017","1619","0.00681518","0","0",,"11",,
"3/8/2017","1620","0.0133619","0","0",,"11",,
"3/8/2017","1621","0.0121316","0","0",,"11",,
"3/8/2017","1622","0.00438279","0","0",,"11",,
"3/8/2017","1623","0.0118985","0","0",,"11",,
"3/8/2017","1624","0.00766724","0","0",,"11",,
"3/8/2017","1625","0.00284343","0","0",,"11",,
"3/8/2017","1626","0.00417747","0","0",,"11",,
"3/8/2017","1632","0.0081815","0","0",,"11",,
"3/8/2017","1633","0.00288269","0","0",,"11",,
"3/8/2017","1634","0.0152219","0","0",,"11",,
"3/8/2017","1635","0.000767668","0","0",,"11",,
"3/8/2017","1636","0.00328957","0","0",,"11",,
"3/8/2017","1637","0.00593852","0","0",,"11",,
"3/8/2017","1639","0.00727154","0","0",,"11",,
"3/8/2017","1640","0.00344521","0","0",,"11",,
"3/8/2017","1641","0.0124806","0","0",,"11",,
"3/8/2017","1642","0.000481873","0","0",,"11",,
"3/8/2017","1643","0.0148272","0","0",,"11",,
"3/8/2017","1644","0.00358794","0","0",,"11",,
"3/8/2017","1645","0.00392788","0","0",,"11",,
"3/8/2017","1647","0.00494007","0","0",,"11",,
"3/8/2017","1648","0.00840594","0","0",,"11",,
"3/8/2017","1649","0.00879631","0","0",,"11",,
"7/8/2017","4008","0.022624","0","0",,"10",,
"7/8/2017","4009","0.00856822","0","0",,"10",,
"7/8/2017","4010","0.00256243","0","0",,"10",,
"3/8/2017","1650","0.0134588","0","0",,"11",,
"3/8/2017","1651","0.0117312","0","0",,"11",,
"3/8/2017","1652","0.00140883","0","0",,"11",,
"3/8/2017","1653","0.00803855","0","0",,"11",,
"3/8/2017","1654","0.00143324","0","0",,"11",,
"3/8/2017","1655","0.0107711","0","0",,"11",,
"3/8/2017","1656","0.0134172","0","0",,"11",,
"3/8/2017","1658","0.00627232","0","0",,"11",,
"3/8/2017","1659","0.000736188","0","0",,"11",,
"3/8/2017","1660","0.0067823","0","0",,"11",,
"3/8/2017","1661","0.00550317","0","0",,"11",,
"3/8/2017","1662","0.0136897","0","0",,"11",,
"3/8/2017","1663","0.00146462","0","0",,"11",,
"3/8/2017","1664","0.0159495","0","0",,"11",,
"3/8/2017","1665","0.0154412","0","0",,"11",,
"3/8/2017","1666","0.00737754","0","0",,"11",,
"3/8/2017","1667","0.00284003","0","0",,"11",,
"3/8/2017","1669","0.0161796","0","0",,"11",,
"3/8/2017","1670","0.00211913","0","0",,"11",,
"3/8/2017","1671","0.00526204","0","0",,"11",,
"3/8/2017","1672","0.000366421","0","0",,"11",,
"3/8/2017","1673","0.00724652","0","0",,"11",,
"3/8/2017","1674","0.0111537","0","0",,"11",,
"3/8/2017","1675","0.00384235","0","0",,"11",,
"3/8/2017","1676","0.00826257","0","0",,"11",,
"3/8/2017","1677","0.00103209","0","0",,"11",,
"3/8/2017","1678","0.0153089","0","0",,"11",,
"3/8/2017","1679","0.00677746","0","0",,"11",,
"3/8/2017","1680","0.00953473","0","0",,"11",,
"3/8/2017","1681","0.0107295","0","0",,"11",,
"3/8/2017","1683","0.00316289","0","0",,"11",,
"3/8/2017","1684","0.00408167","0","0",,"11",,
"3/8/2017","1685","0.0143436","0","0",,"11",,
"3/8/2017","1686","0.0125483","0","0",,"11",,
"3/8/2017","1687","0.0130857","0","0",,"11",,
"7/8/2017","4049","0.0237252","0","0",,"10",,
"3/8/2017","1688","0.0115996","0","0",,"11",,
"3/8/2017","1689","0.0167489","0","0",,"11",,
"3/8/2017","1690","0.00829808","0","0",,"11",,
"3/8/2017","1691","0.00486238","0","0",,"11",,
"3/8/2017","1692","0.0232123213","0","0",,"11",,
"3/8/2017","1693","0.00947346","0","0",,"11",,
"3/8/2017","1694","0.00054453","0","0",,"11",,
"3/8/2017","1695","0.0164403","0","0",,"11",,
"3/8/2017","1696","0.00552804","0","0",,"11",,
"3/8/2017","1697","0.0162763","0","0",,"11",,
"3/8/2017","1698","0.00448058","0","0",,"11",,
"3/8/2017","1699","0.0018486","0","0",,"11",,
"3/8/2017","1700","0.00401857","0","0",,"11",,
"3/8/2017","1701","0.0118256","0","0",,"11",,
"3/8/2017","1702","0.00413038","0","0",,"11",,
"3/8/2017","1703","0.0123539","0","0",,"11",,
"3/8/2017","1704","0.0107375","0","0",,"11",,
"3/8/2017","1705","0.0128299","0","0",,"11",,
"3/8/2017","1706","0.0134019","0","0",,"11",,
"3/8/2017","1707","0.00286408","0","0",,"11",,
"3/8/2017","1708","0.0034592","0","0",,"11",,
"3/8/2017","1712","0.0157701","0","0",,"11",,
"3/8/2017","1713","0.00151847","0","0",,"11",,
"3/8/2017","1714","0.0169006","0","0",,"11",,
"3/8/2017","1715","0.00302541","0","0",,"11",,
"3/8/2017","1716","0.00750098","0","0",,"11",,
"3/8/2017","1717","0.00446703","0","0",,"11",,
"3/8/2017","1719","0.00265415","0","0",,"11",,
"3/8/2017","1720","0.0101364","0","0",,"11",,
"3/8/2017","1721","0.00247334","0","0",,"11",,
"3/8/2017","1722","0.00385162","0","0",,"11",,
